2023-11-08 22:45:16 - application_logger - INFO - ℹ️ Application Start :
                ###################################################################################
                ##                             ULTRA-AIM-PRO                                     ##
                ##                                                                               ##
                ## Ultra96-based PYNQ AI-Managed Performance and Reliability Optimization system ##
                ##                                                                               ##
                ##                  Created by: Dark Bors v1.1.0-Official                        ##
                ##                                                                               ##
                ##                                                                 Final Project ##
                ###################################################################################
                
2023-11-08 22:54:57 - application_logger - INFO - ℹ️ File path chosen: G:/My Drive/Final Project Boris_E/Final Project - Copy/utils/DataSet_1.xlsx
2023-11-08 22:54:57 - application_logger - INFO - ℹ️ Starting preprocessing of data.
2023-11-08 22:54:57 - application_logger - INFO - ℹ️ Data loaded successfully from G:/My Drive/Final Project Boris_E/Final Project - Copy/utils/DataSet_1.xlsx
2023-11-08 22:54:57 - application_logger - INFO - ℹ️ Dropped 1 rows due to NaN values.
2023-11-08 22:54:57 - application_logger - INFO - ℹ️ Reliability column added successfully.
2023-11-08 22:54:57 - application_logger - INFO - ℹ️ N_squared feature engineered successfully.
2023-11-08 22:54:57 - application_logger - DEBUG - 🐛 Features and targets extracted.
2023-11-08 22:54:57 - application_logger - INFO - ℹ️ Input data normalized successfully.
2023-11-08 22:54:57 - application_logger - INFO - ℹ️ Data split into train and test sets successfully.
2023-11-08 22:54:57 - application_logger - INFO - ℹ️ Data preprocessed successfully.
2023-11-08 22:55:22 - application_logger - INFO - ℹ️ Initializing NeuralNetworkModel with input shape (5,), dense1_units=64, dense2_units=32, learning_rate=0.001
2023-11-08 22:55:22 - application_logger - DEBUG - 🐛 Model compiled successfully with Adam optimizer and MSE loss.
2023-11-08 22:55:22 - application_logger - INFO - ℹ️ Training started with the following parameters: validation_split=0.07, epochs=1000, batch_size=77, min_delta=1e-05, patience=100
2023-11-08 22:55:22 - application_logger - DEBUG - 🐛 Starting epoch 1
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Finished epoch 1
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Starting epoch 2
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Finished epoch 2
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Starting epoch 3
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Finished epoch 3
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Starting epoch 4
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Finished epoch 4
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Starting epoch 5
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Finished epoch 5
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Starting epoch 6
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Finished epoch 6
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Starting epoch 7
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Finished epoch 7
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Starting epoch 8
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Finished epoch 8
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Starting epoch 9
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Finished epoch 9
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Starting epoch 10
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Finished epoch 10
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Starting epoch 11
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Finished epoch 11
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Starting epoch 12
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Finished epoch 12
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Starting epoch 13
2023-11-08 22:55:23 - application_logger - DEBUG - 🐛 Finished epoch 13
